Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
fast-wireless-charger-pad,,,,,,,true,Color,Black,,,,,FASTWIR-002,200,shopify,deny,manual,24.99,35.00,true,true,,,,false,,,active
usb-c-hub-7-in-1,USB-C Hub 7-in-1,"<p>All-in-one USB-C hub: HDMI, SD card, USB 3.0 ports, and 100W power delivery.</p>",FlexiTech,,Accessories,"electronics, tech, accessories, hub, usb-c, laptop",true,Color,Space Grey,,,,,USBCHU-001,200,shopify,deny,manual,39.99,,true,true,https://images.unsplash.com/photo-1625772452859-1c03d5bf1137?w=800&h=800&fit=crop,1,USB-C Hub 7-in-1,false,USB-C Hub 7-in-1,"All-in-one USB-C hub: HDMI, SD card, USB 3.0 ports, and 100W power delivery.",active
usb-c-hub-7-in-1,,,,,,,true,Color,Silver,,,,,USBCHU-002,200,shopify,deny,manual,39.99,,true,true,,,,false,,,active
true-wireless-earbuds,True Wireless Earbuds,"<p>Compact TWS earbuds with deep bass, touch controls, and 24-hour battery with case.</p>",FlexiTech,,Audio,"electronics, tech, audio, earbuds, wireless, best-sellers, sale",true,Color,White,,,,,TRUEWIR-001,200,shopify,deny,manual,44.99,59.99,true,true,https://images.unsplash.com/photo-1590658268037-6bf12f032f55?w=800&h=800&fit=crop,1,True Wireless Earbuds,false,True Wireless Earbuds,"Compact TWS earbuds with deep bass, touch controls, and 24-hour battery with case.",active
true-wireless-earbuds,,,,,,,true,Color,Black,,,,,TRUEWIR-002,200,shopify,deny,manual,44.99,59.99,true,true,,,,false,,,active
true-wireless-earbuds,,,,,,,true,Color,Mint,,,,,TRUEWIR-003,200,shopify,deny,manual,44.99,59.99,true,true,,,,false,,,active
led-desk-lamp-with-wireless-charging,LED Desk Lamp with Wireless Charging,<p>Adjustable LED desk lamp with built-in wireless charger and 5 brightness levels.</p>,FlexiTech,,Gadgets,"electronics, tech, gadgets, lamp, desk, wireless-charging, sale",true,Color,White,,,,,LEDDESK-001,200,shopify,deny,manual,54.99,70.00,true,true,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800&h=800&fit=crop,1,LED Desk Lamp with Wireless Charging,false,LED Desk Lamp with Wireless Charging,Adjustable LED desk lamp with built-in wireless charger and 5 brightness levels.,active
led-desk-lamp-with-wireless-charging,,,,,,,true,Color,Black,,,,,LEDDESK-002,200,shopify,deny,manual,54.99,70.00,true,true,,,,false,,,active
mechanical-keyboard-compact,Mechanical Keyboard Compact,<p>65% compact mechanical keyboard with hot-swappable switches and RGB backlight.</p>,FlexiTech,,Accessories,"electronics, tech, accessories, keyboard, mechanical, gaming, sale",true,Switch,Red (Linear),,,,,MECHANIC-001,200,shopify,deny,manual,69.99,85.00,true,true,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=800&h=800&fit=crop,1,Mechanical Keyboard Compact,false,Mechanical Keyboard Compact,65% compact mechanical keyboard with hot-swappable switches and RGB backlight.,active
mechanical-keyboard-compact,,,,,,,true,Switch,Blue (Clicky),,,,,MECHANIC-002,200,shopify,deny,manual,69.99,85.00,true,true,,,,false,,,active
mechanical-keyboard-compact,,,,,,,true,Switch,Brown (Tactile),,,,,MECHANIC-003,200,shopify,deny,manual,69.99,85.00,true,true,,,,false,,,active
portable-power-bank-20000mah,Portable Power Bank 20000mAh,<p>20000mAh power bank with dual USB-C and USB-A. Charges 3 devices at once.</p>,FlexiTech,,Accessories,"electronics, tech, accessories, power-bank, portable, best-sellers",true,Color,Black,,,,,PORTABLE-001,200,shopify,deny,manual,34.99,,true,true,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=800&h=800&fit=crop,1,Portable Power Bank 20000mAh,false,Portable Power Bank 20000mAh,20000mAh power bank with dual USB-C and USB-A. Charges 3 devices at once.,active
portable-power-bank-20000mah,,,,,,,true,Color,White,,,,,PORTABLE-002,200,shopify,deny,manual,34.99,,true,true,,,,false,,,active
smart-home-mini-speaker,Smart Home Mini Speaker,<p>Voice-controlled smart speaker with rich sound and smart home integration.</p>,FlexiTech,,Audio,"electronics, tech, audio, smart-home, speaker, voice-assistant, sale",true,Color,Charcoal,,,,,SMARTHO-001,200,shopify,deny,manual,39.99,50.00,true,true,https://images.unsplash.com/photo-1543512214-318228f8f096?w=800&h=800&fit=crop,1,Smart Home Mini Speaker,false,Smart Home Mini Speaker,Voice-controlled smart speaker with rich sound and smart home integration.,active
smart-home-mini-speaker,,,,,,,true,Color,Sand,,,,,SMARTHO-002,200,shopify,deny,manual,39.99,50.00,true,true,,,,false,,,active
smart-home-mini-speaker,,,,,,,true,Color,Blue,,,,,SMARTHO-003,200,shopify,deny,manual,39.99,50.00,true,true,,,,false,,,active
webcam-4k-auto-focus,Webcam 4K Auto-Focus,"<p>4K webcam with auto-focus, auto-light correction, and dual noise-cancelling mics.</p>",FlexiTech,,Gadgets,"electronics, tech, gadgets, webcam, 4k, streaming, new-arrivals, sale",true,Resolution,1080p,,,,,WEBCAM4-001,200,shopify,deny,manual,64.99,78.00,true,true,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=800&h=800&fit=crop,1,Webcam 4K Auto-Focus,false,Webcam 4K Auto-Focus,"4K webcam with auto-focus, auto-light correction, and dual noise-cancelling mics.",active
webcam-4k-auto-focus,,,,,,,true,Resolution,4K,,,,,WEBCAM4-002,200,shopify,deny,manual,64.99,78.00,true,true,,,,false,,,active
wireless-gaming-mouse,Wireless Gaming Mouse,<p>Lightweight wireless gaming mouse with 25K DPI sensor and 70-hour battery.</p>,FlexiTech,,Accessories,"electronics, tech, accessories, mouse, gaming, wireless, new-arrivals",true,Color,Black,,,,,WIRELESS-001,200,shopify,deny,manual,49.99,,true,true,https://images.unsplash.com/photo-1586953208448-b95a79798f07?w=800&h=800&fit=crop,1,Wireless Gaming Mouse,false,Wireless Gaming Mouse,Lightweight wireless gaming mouse with 25K DPI sensor and 70-hour battery.,active
wireless-gaming-mouse,,,,,,,true,Color,White,,,,,WIRELESS-002,200,shopify,deny,manual,49.99,,true,true,,,,false,,,active
laptop-stand-adjustable,Laptop Stand Adjustable,<p>Aluminum adjustable laptop stand. 6 height settings for ergonomic positioning.</p>,FlexiTech,,Accessories,"electronics, tech, accessories, laptop-stand, ergonomic, sale",true,Color,Silver,,,,,LAPTOPS-001,200,shopify,deny,manual,29.99,36.00,true,true,https://images.unsplash.com/photo-1625772452859-1c03d5bf1137?w=800&h=800&fit=crop,1,Laptop Stand Adjustable,false,Laptop Stand Adjustable,Aluminum adjustable laptop stand. 6 height settings for ergonomic positioning.,active
laptop-stand-adjustable,,,,,,,true,Color,Space Grey,,,,,LAPTOPS-002,200,shopify,deny,manual,29.99,36.00,true,true,,,,false,,,active
smart-plug-4-pack,Smart Plug 4-Pack,<p>WiFi smart plugs with app and voice control. Schedule and automate any device.</p>,FlexiTech,,Smart Home,"electronics, tech, smart-home, smart-plug, wifi, automation, best-sellers",true,Pack,2-Pack,,,,,SMARTPL-001,200,shopify,deny,manual,29.99,,true,true,https://images.unsplash.com/photo-1543512214-318228f8f096?w=800&h=800&fit=crop,1,Smart Plug 4-Pack,false,Smart Plug 4-Pack,WiFi smart plugs with app and voice control. Schedule and automate any device.,active
smart-plug-4-pack,,,,,,,true,Pack,4-Pack,,,,,SMARTPL-002,200,shopify,deny,manual,29.99,,true,true,,,,false,,,active
noise-machine-for-sleep,Noise Machine for Sleep,"<p>30 soothing sounds including white noise, rain, and ocean. Timer and night light.</p>",FlexiTech,,Gadgets,"electronics, tech, gadgets, sleep, white-noise, wellness",true,Color,White,,,,,NOISEMA-001,200,shopify,deny,manual,34.99,,true,true,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800&h=800&fit=crop,1,Noise Machine for Sleep,false,Noise Machine for Sleep,"30 soothing sounds including white noise, rain, and ocean. Timer and night light.",active
noise-machine-for-sleep,,,,,,,true,Color,Grey,,,,,NOISEMA-002,200,shopify,deny,manual,34.99,,true,true,,,,false,,,active
ring-light-10-inch,Ring Light 10-inch,"<p>10-inch LED ring light with tripod and phone holder. 3 color modes, 10 brightness levels.</p>",FlexiTech,,Accessories,"electronics, tech, accessories, ring-light, streaming, content-creator, sale",true,Size,10 inch,,,,,RINGLIG-001,200,shopify,deny,manual,24.99,30.00,true,true,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=800&h=800&fit=crop,1,Ring Light 10-inch,false,Ring Light 10-inch,"10-inch LED ring light with tripod and phone holder. 3 color modes, 10 brightness levels.",active
ring-light-10-inch,,,,,,,true,Size,12 inch,,,,,RINGLIG-002,200,shopify,deny,manual,24.99,30.00,true,true,,,,false,,,active
usb-microphone-condenser,USB Microphone Condenser,"<p>Studio-quality USB condenser mic for podcasts, streaming, and meetings.</p>",FlexiTech,,Audio,"electronics, tech, audio, microphone, usb, podcast, new-arrivals, sale",true,Color,Black,,,,,USBMICR-001,200,shopify,deny,manual,59.99,72.00,true,true,https://images.unsplash.com/photo-1590658268037-6bf12f032f55?w=800&h=800&fit=crop,1,USB Microphone Condenser,false,USB Microphone Condenser,"Studio-quality USB condenser mic for podcasts, streaming, and meetings.",active
usb-microphone-condenser,,,,,,,true,Color,Silver,,,,,USBMICR-002,200,shopify,deny,manual,59.99,72.00,true,true,,,,false,,,active
portable-ssd-1tb,Portable SSD 1TB,<p>Ultra-fast portable SSD with 1050MB/s read speed. Shock-resistant and pocket-sized.</p>,FlexiTech,,Storage,"electronics, tech, storage, ssd, portable, fast, sale",true,Capacity,500GB,,,,,PORTABLE-001,200,shopify,deny,manual,79.99,95.00,true,true,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=800&h=800&fit=crop,1,Portable SSD 1TB,false,Portable SSD 1TB,Ultra-fast portable SSD with 1050MB/s read speed. Shock-resistant and pocket-sized.,active
portable-ssd-1tb,,,,,,,true,Capacity,1TB,,,,,PORTABLE-002,200,shopify,deny,manual,79.99,95.00,true,true,,,,false,,,active
portable-ssd-1tb,,,,,,,true,Capacity,2TB,,,,,PORTABLE-003,200,shopify,deny,manual,79.99,95.00,true,true,,,,false,,,active
smart-led-light-strip-5m,Smart LED Light Strip 5m,<p>WiFi RGB LED strip with app control and music sync. 16 million colors.</p>,FlexiTech,,Smart Home,"electronics, tech, smart-home, led-strip, rgb, ambiance, new-arrivals",true,Length,5m,,,,,SMARTLE-001,200,shopify,deny,manual,22.99,,true,true,https://images.unsplash.com/photo-1543512214-318228f8f096?w=800&h=800&fit=crop,1,Smart LED Light Strip 5m,false,Smart LED Light Strip 5m,WiFi RGB LED strip with app control and music sync. 16 million colors.,active
smart-led-light-strip-5m,,,,,,,true,Length,10m,,,,,SMARTLE-002,200,shopify,deny,manual,22.99,,true,true,,,,false,,,active
tablet-stand-multi-angle,Tablet Stand Multi-Angle,<p>Heavy-duty aluminum tablet stand. Fits 4-13 inch devices. Multi-angle adjustable.</p>,FlexiTech,,Accessories,"electronics, tech, accessories, tablet-stand, adjustable, sale",true,Color,Silver,,,,,TABLETS-001,200,shopify,deny,manual,18.99,24.00,true,true,https://images.unsplash.com/photo-1625772452859-1c03d5bf1137?w=800&h=800&fit=crop,1,Tablet Stand Multi-Angle,false,Tablet Stand Multi-Angle,Heavy-duty aluminum tablet stand. Fits 4-13 inch devices. Multi-angle adjustable.,active
tablet-stand-multi-angle,,,,,,,true,Color,Black,,,,,TABLETS-002,200,shopify,deny,manual,18.99,24.00,true,true,,,,false,,,active
tablet-stand-multi-angle,,,,,,,true,Color,Rose Gold,,,,,TABLETS-003,200,shopify,deny,manual,18.99,24.00,true,true,,,,false,,,active
