Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
magnetic-tile-building-set,Magnetic Tile Building Set,<p>60-piece magnetic tiles for 3D building. Develops spatial awareness and creativity.</p>,FlexiPlay,,Building,"toys, games, building, magnetic, stem, toddler, best-sellers",true,Set,60 Piece,,,,,MAGNETIC-001,200,shopify,deny,manual,44.99,,true,true,https://images.unsplash.com/photo-1587654780291-39c9404d7dd0?w=800&h=800&fit=crop,1,Magnetic Tile Building Set,false,Magnetic Tile Building Set,60-piece magnetic tiles for 3D building. Develops spatial awareness and creativity.,active
magnetic-tile-building-set,,,,,,,true,Set,100 Piece,,,,,MAGNETIC-002,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
plush-dinosaur-collection,Plush Dinosaur Collection,"<p>Cuddly dinosaur plush toy. Super-soft, huggable, and perfectly sized for little hands.</p>",FlexiPlay,,Plush,"toys, games, plush, dinosaurs, soft-toys, 3-plus",true,Dino,T-Rex,,,,,PLUSHDI-001,200,shopify,deny,manual,16.99,,true,true,https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=800&h=800&fit=crop,1,Plush Dinosaur Collection,false,Plush Dinosaur Collection,"Cuddly dinosaur plush toy. Super-soft, huggable, and perfectly sized for little hands.",active
plush-dinosaur-collection,,,,,,,true,Dino,Triceratops,,,,,PLUSHDI-002,200,shopify,deny,manual,16.99,,true,true,,,,false,,,active
plush-dinosaur-collection,,,,,,,true,Dino,Brontosaurus,,,,,PLUSHDI-003,200,shopify,deny,manual,16.99,,true,true,,,,false,,,active
plush-dinosaur-collection,,,,,,,true,Dino,Stegosaurus,,,,,PLUSHDI-004,200,shopify,deny,manual,16.99,,true,true,,,,false,,,active
kids-science-experiment-kit,Kids Science Experiment Kit,"<p>25 exciting experiments — volcanoes, crystals, slime, and more. Lab coat included!</p>",FlexiPlay,,STEM,"toys, games, stem, science, experiments, 6-plus, new-arrivals, sale",true,Type,Chemistry,,,,,KIDSSCI-001,200,shopify,deny,manual,32.99,40.00,true,true,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=800&h=800&fit=crop,1,Kids Science Experiment Kit,false,Kids Science Experiment Kit,"25 exciting experiments — volcanoes, crystals, slime, and more. Lab coat included!",active
kids-science-experiment-kit,,,,,,,true,Type,Physics,,,,,KIDSSCI-002,200,shopify,deny,manual,32.99,40.00,true,true,,,,false,,,active
ride-on-balance-bike,Ride-On Balance Bike,<p>Lightweight balance bike with adjustable seat. Builds confidence before pedal bikes.</p>,FlexiPlay,,Outdoor,"toys, games, outdoor, balance-bike, ride-on, 2-plus, sale",true,Color,Red,,,,,RIDEON-001,200,shopify,deny,manual,59.99,72.00,true,true,https://images.unsplash.com/photo-1560541919-eb5c2da6a5a3?w=800&h=800&fit=crop,1,Ride-On Balance Bike,false,Ride-On Balance Bike,Lightweight balance bike with adjustable seat. Builds confidence before pedal bikes.,active
ride-on-balance-bike,,,,,,,true,Color,Blue,,,,,RIDEON-002,200,shopify,deny,manual,59.99,72.00,true,true,,,,false,,,active
ride-on-balance-bike,,,,,,,true,Color,Pink,,,,,RIDEON-003,200,shopify,deny,manual,59.99,72.00,true,true,,,,false,,,active
ride-on-balance-bike,,,,,,,true,Color,Green,,,,,RIDEON-004,200,shopify,deny,manual,59.99,72.00,true,true,,,,false,,,active
pretend-play-kitchen-set,Pretend Play Kitchen Set,"<p>Wooden play kitchen with pots, pans, utensils, and play food. Imagination station!</p>",FlexiPlay,,Pretend Play,"toys, games, pretend-play, kitchen, role-play, 3-plus",true,Color,White/Pastel,,,,,PRETEND-001,200,shopify,deny,manual,54.99,,true,true,https://images.unsplash.com/photo-1587654780291-39c9404d7dd0?w=800&h=800&fit=crop,1,Pretend Play Kitchen Set,false,Pretend Play Kitchen Set,"Wooden play kitchen with pots, pans, utensils, and play food. Imagination station!",active
pretend-play-kitchen-set,,,,,,,true,Color,Natural Wood,,,,,PRETEND-002,200,shopify,deny,manual,54.99,,true,true,,,,false,,,active
rc-monster-truck,RC Monster Truck,"<p>All-terrain RC monster truck with 2.4GHz remote. Does flips, climbs hills, and races.</p>",FlexiPlay,,Vehicles,"toys, games, vehicles, remote-control, rc, 6-plus, best-sellers, sale",true,Color,Red,,,,,RCMONST-001,200,shopify,deny,manual,39.99,48.00,true,true,https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=800&h=800&fit=crop,1,RC Monster Truck,false,RC Monster Truck,"All-terrain RC monster truck with 2.4GHz remote. Does flips, climbs hills, and races.",active
rc-monster-truck,,,,,,,true,Color,Blue,,,,,RCMONST-002,200,shopify,deny,manual,39.99,48.00,true,true,,,,false,,,active
rc-monster-truck,,,,,,,true,Color,Green,,,,,RCMONST-003,200,shopify,deny,manual,39.99,48.00,true,true,,,,false,,,active
puzzle-set-4-in-1,Puzzle Set 4-in-1,"<p>Progressive jigsaw puzzles: 12, 24, 36, and 48 pieces. Grows with your child.</p>",FlexiPlay,,Puzzles,"toys, games, puzzles, educational, toddler, 3-plus",true,Theme,Animals,,,,,PUZZLES-001,200,shopify,deny,manual,18.99,,true,true,https://images.unsplash.com/photo-1611996575749-79a3a250f948?w=800&h=800&fit=crop,1,Puzzle Set 4-in-1,false,Puzzle Set 4-in-1,"Progressive jigsaw puzzles: 12, 24, 36, and 48 pieces. Grows with your child.",active
puzzle-set-4-in-1,,,,,,,true,Theme,Vehicles,,,,,PUZZLES-002,200,shopify,deny,manual,18.99,,true,true,,,,false,,,active
puzzle-set-4-in-1,,,,,,,true,Theme,Fairy Tales,,,,,PUZZLES-003,200,shopify,deny,manual,18.99,,true,true,,,,false,,,active
musical-instruments-set,Musical Instruments Set,"<p>Set of 10 wooden instruments — xylophone, tambourine, maracas, and more.</p>",FlexiPlay,,Music,"toys, games, music, instruments, educational, toddler, sale",true,Set,Classic,,,,,MUSICAL-001,200,shopify,deny,manual,27.99,34.00,true,true,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=800&h=800&fit=crop,1,Musical Instruments Set,false,Musical Instruments Set,"Set of 10 wooden instruments — xylophone, tambourine, maracas, and more.",active
musical-instruments-set,,,,,,,true,Set,Rainbow,,,,,MUSICAL-002,200,shopify,deny,manual,27.99,34.00,true,true,,,,false,,,active
bubble-machine-deluxe,Bubble Machine Deluxe,<p>Automatic bubble machine that produces hundreds of bubbles per minute. Includes solution.</p>,FlexiPlay,,Outdoor,"toys, games, outdoor, bubbles, summer, 3-plus, new-arrivals",true,Color,Blue,,,,,BUBBLEM-001,200,shopify,deny,manual,19.99,,true,true,https://images.unsplash.com/photo-1560541919-eb5c2da6a5a3?w=800&h=800&fit=crop,1,Bubble Machine Deluxe,false,Bubble Machine Deluxe,Automatic bubble machine that produces hundreds of bubbles per minute. Includes solution.,active
bubble-machine-deluxe,,,,,,,true,Color,Pink,,,,,BUBBLEM-002,200,shopify,deny,manual,19.99,,true,true,,,,false,,,active
play-doh-mega-pack,Play-Doh Mega Pack,<p>24 cans of non-toxic modeling compound in vibrant colors. Hours of squishy fun.</p>,FlexiPlay,,Creative,"toys, games, creative, play-doh, molding, toddler",true,Pack,24 Colors,,,,,PLAYDOH-001,200,shopify,deny,manual,14.99,,true,true,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=800&h=800&fit=crop,1,Play-Doh Mega Pack,false,Play-Doh Mega Pack,24 cans of non-toxic modeling compound in vibrant colors. Hours of squishy fun.,active
kids-telescope-starter,Kids Telescope Starter,<p>Beginner telescope with 40x magnification. See the moon craters and planets!</p>,FlexiPlay,,STEM,"toys, games, stem, telescope, space, 8-plus, sale",true,Color,White,,,,,KIDSTEL-001,200,shopify,deny,manual,42.99,52.00,true,true,https://images.unsplash.com/photo-1558060370-d644479cb6f7?w=800&h=800&fit=crop,1,Kids Telescope Starter,false,Kids Telescope Starter,Beginner telescope with 40x magnification. See the moon craters and planets!,active
kids-telescope-starter,,,,,,,true,Color,Black,,,,,KIDSTEL-002,200,shopify,deny,manual,42.99,52.00,true,true,,,,false,,,active
doll-house-wooden,Doll House Wooden,<p>3-story wooden dollhouse with 15 furniture pieces. Detailed and beautifully crafted.</p>,FlexiPlay,,Pretend Play,"toys, games, pretend-play, dollhouse, wooden, 3-plus, sale",true,Style,Classic,,,,,DOLLHOU-001,200,shopify,deny,manual,79.99,95.00,true,true,https://images.unsplash.com/photo-1587654780291-39c9404d7dd0?w=800&h=800&fit=crop,1,Doll House Wooden,false,Doll House Wooden,3-story wooden dollhouse with 15 furniture pieces. Detailed and beautifully crafted.,active
doll-house-wooden,,,,,,,true,Style,Modern,,,,,DOLLHOU-002,200,shopify,deny,manual,79.99,95.00,true,true,,,,false,,,active
water-table-activity-center,Water Table Activity Center,"<p>Interactive water table with scoops, spinners, and water maze. Splashy summer fun.</p>",FlexiPlay,,Outdoor,"toys, games, outdoor, water-play, summer, toddler, best-sellers",true,Size,Standard,,,,,WATERTA-001,200,shopify,deny,manual,44.99,,true,true,https://images.unsplash.com/photo-1560541919-eb5c2da6a5a3?w=800&h=800&fit=crop,1,Water Table Activity Center,false,Water Table Activity Center,"Interactive water table with scoops, spinners, and water maze. Splashy summer fun.",active
water-table-activity-center,,,,,,,true,Size,Large,,,,,WATERTA-002,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
card-game-collection-for-kids,Card Game Collection for Kids,<p>Set of 4 kid-friendly card games in a travel tin. Perfect for road trips.</p>,FlexiPlay,,Card Games,"toys, games, card-games, family, travel, 5-plus",true,Set,Classic,,,,,CARDGAM-001,200,shopify,deny,manual,12.99,,true,true,https://images.unsplash.com/photo-1611996575749-79a3a250f948?w=800&h=800&fit=crop,1,Card Game Collection for Kids,false,Card Game Collection for Kids,Set of 4 kid-friendly card games in a travel tin. Perfect for road trips.,active
card-game-collection-for-kids,,,,,,,true,Set,Adventure,,,,,CARDGAM-002,200,shopify,deny,manual,12.99,,true,true,,,,false,,,active
kinetic-sand-playset,Kinetic Sand Playset,"<p>Mess-free kinetic sand with molds and tools. Squeezable, moldable, mesmerizing.</p>",FlexiPlay,,Creative,"toys, games, creative, sand, sensory, 3-plus, new-arrivals, sale",true,Color,Natural,,,,,KINETIC-001,200,shopify,deny,manual,22.99,28.00,true,true,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=800&h=800&fit=crop,1,Kinetic Sand Playset,false,Kinetic Sand Playset,"Mess-free kinetic sand with molds and tools. Squeezable, moldable, mesmerizing.",active
kinetic-sand-playset,,,,,,,true,Color,Rainbow Pack,,,,,KINETIC-002,200,shopify,deny,manual,22.99,28.00,true,true,,,,false,,,active
